indicator_name,province_name,year,value
نرخ تملک خودرو,آذربایجان شرقی,1374,4.0222807
نرخ تملک خودرو,آذربایجان غربی,1374,4.0016408
نرخ تملک خودرو,اردبیل,1374,.41557646
نرخ تملک خودرو,اصفهان,1374,1.3783957
نرخ تملک خودرو,ایلام,1374,1.4352221
نرخ تملک خودرو,بوشهر,1374,.22432557
نرخ تملک خودرو,تهران,1374,.32755107
نرخ تملک خودرو,خراسان رضوی,1374,5.432816
نرخ تملک خودرو,خوزستان,1374,6.3907523
نرخ تملک خودرو,زنجان,1374,1.4725807
نرخ تملک خودرو,سمنان,1374,8.4655581
نرخ تملک خودرو,سیستان و بلوچستان,1374,1.5935159
نرخ تملک خودرو,فارس,1374,6.0688629
نرخ تملک خودرو,کردستان,1374,.37809268
نرخ تملک خودرو,کرمان,1374,.77539194
نرخ تملک خودرو,کرمانشاه,1374,4.4474463
نرخ تملک خودرو,کهگیلویه و بویراحمد,1374,3.2670746
نرخ تملک خودرو,لرستان,1374,1.4191622
نرخ تملک خودرو,مازندران,1374,6.6913137
نرخ تملک خودرو,مرکزی,1374,3.4619095
نرخ تملک خودرو,هرمزگان,1374,.12361295
نرخ تملک خودرو,همدان,1374,5.2902031
نرخ تملک خودرو,چهارمحال و بختیاری,1374,5.1751919
نرخ تملک خودرو,کل کشور,1374,2.5734849
نرخ تملک خودرو,گیلان,1374,2.6865811
نرخ تملک خودرو,یزد,1374,8.6782703
نرخ تملک خودرو,آذربایجان شرقی,1375,.84428978
نرخ تملک خودرو,آذربایجان غربی,1375,3.6285594
نرخ تملک خودرو,اردبیل,1375,4.0438695
نرخ تملک خودرو,اصفهان,1375,8.0030346
نرخ تملک خودرو,ایلام,1375,3.255887
نرخ تملک خودرو,بوشهر,1375,3.7591596
نرخ تملک خودرو,تهران,1375,4.5192537
نرخ تملک خودرو,خراسان رضوی,1375,6.3065133
نرخ تملک خودرو,خوزستان,1375,1.9721874
نرخ تملک خودرو,زنجان,1375,1.1252995
نرخ تملک خودرو,سمنان,1375,1.0405458
نرخ تملک خودرو,سیستان و بلوچستان,1375,1.8967177
نرخ تملک خودرو,فارس,1375,.52727836
نرخ تملک خودرو,کردستان,1375,.81335694
نرخ تملک خودرو,کرمان,1375,1.4988651
نرخ تملک خودرو,کرمانشاه,1375,3.5159466
نرخ تملک خودرو,کهگیلویه و بویراحمد,1375,2.1526008
نرخ تملک خودرو,لرستان,1375,1.488584
نرخ تملک خودرو,مازندران,1375,6.1309462
نرخ تملک خودرو,مرکزی,1375,2.4668174
نرخ تملک خودرو,هرمزگان,1375,2.6773157
نرخ تملک خودرو,همدان,1375,4.4616027
نرخ تملک خودرو,چهارمحال و بختیاری,1375,2.0710762
نرخ تملک خودرو,کل کشور,1375,4.994091
نرخ تملک خودرو,گیلان,1375,.92791146
نرخ تملک خودرو,یزد,1375,9.7201347
نرخ تملک خودرو,آذربایجان شرقی,1376,2.3064926
نرخ تملک خودرو,آذربایجان غربی,1376,.13850947
نرخ تملک خودرو,اردبیل,1376,1.0735805
نرخ تملک خودرو,اصفهان,1376,13.388649
نرخ تملک خودرو,ایلام,1376,1.0627216
نرخ تملک خودرو,بوشهر,1376,3.0252955
نرخ تملک خودرو,تهران,1376,8.0736942
نرخ تملک خودرو,خراسان رضوی,1376,5.1603451
نرخ تملک خودرو,خوزستان,1376,3.543699
نرخ تملک خودرو,زنجان,1376,2.4774137
نرخ تملک خودرو,سمنان,1376,5.540482
نرخ تملک خودرو,سیستان و بلوچستان,1376,2.3695652
نرخ تملک خودرو,فارس,1376,7.2476997
نرخ تملک خودرو,قم,1376,1.0291171
نرخ تملک خودرو,کردستان,1376,1.894768
نرخ تملک خودرو,کرمان,1376,11.792083
نرخ تملک خودرو,کرمانشاه,1376,3.4999466
نرخ تملک خودرو,کهگیلویه و بویراحمد,1376,.93177134
نرخ تملک خودرو,لرستان,1376,2.962971
نرخ تملک خودرو,مازندران,1376,.33024135
نرخ تملک خودرو,مرکزی,1376,7.8044291
نرخ تملک خودرو,هرمزگان,1376,4.4055338
نرخ تملک خودرو,همدان,1376,5.0912886
نرخ تملک خودرو,چهارمحال و بختیاری,1376,4.7375751
نرخ تملک خودرو,کل کشور,1376,6.5183725
نرخ تملک خودرو,گیلان,1376,5.1621666
نرخ تملک خودرو,یزد,1376,3.9727442
نرخ تملک خودرو,آذربایجان شرقی,1377,4.18433
نرخ تملک خودرو,آذربایجان غربی,1377,1.006332
نرخ تملک خودرو,اردبیل,1377,3.5234284
نرخ تملک خودرو,اصفهان,1377,10.482017
نرخ تملک خودرو,ایلام,1377,2.9931898
نرخ تملک خودرو,بوشهر,1377,.7971127
نرخ تملک خودرو,تهران,1377,13.729826
نرخ تملک خودرو,خراسان رضوی,1377,4.2950425
نرخ تملک خودرو,خوزستان,1377,3.9225872
نرخ تملک خودرو,زنجان,1377,2.73384
نرخ تملک خودرو,سمنان,1377,6.9410186
نرخ تملک خودرو,سیستان و بلوچستان,1377,1.5970584
نرخ تملک خودرو,فارس,1377,7.319725
نرخ تملک خودرو,قزوین,1377,3.6663425
نرخ تملک خودرو,قم,1377,10.700028
نرخ تملک خودرو,کردستان,1377,2.7728455
نرخ تملک خودرو,کرمان,1377,4.7149196
نرخ تملک خودرو,کرمانشاه,1377,6.5890837
نرخ تملک خودرو,کهگیلویه و بویراحمد,1377,2.111521
نرخ تملک خودرو,لرستان,1377,.95467585
نرخ تملک خودرو,مازندران,1377,.98912913
نرخ تملک خودرو,مرکزی,1377,7.0079675
نرخ تملک خودرو,هرمزگان,1377,6.0957775
نرخ تملک خودرو,همدان,1377,.65126258
نرخ تملک خودرو,چهارمحال و بختیاری,1377,5.5429811
نرخ تملک خودرو,کل کشور,1377,4.4562206
نرخ تملک خودرو,گلستان,1377,.90507621
نرخ تملک خودرو,گیلان,1377,3.3613014
نرخ تملک خودرو,یزد,1377,10.742061
نرخ تملک خودرو,آذربایجان شرقی,1378,1.5179126
نرخ تملک خودرو,آذربایجان غربی,1378,.51802415
نرخ تملک خودرو,اردبیل,1378,1.698402
نرخ تملک خودرو,اصفهان,1378,13.040271
نرخ تملک خودرو,ایلام,1378,2.2190938
نرخ تملک خودرو,بوشهر,1378,2.7207994
نرخ تملک خودرو,تهران,1378,4.2753301
نرخ تملک خودرو,خراسان رضوی,1378,3.317024
نرخ تملک خودرو,خوزستان,1378,3.2366967
نرخ تملک خودرو,زنجان,1378,.61790228
نرخ تملک خودرو,سمنان,1378,10.951938
نرخ تملک خودرو,سیستان و بلوچستان,1378,3.5873539
نرخ تملک خودرو,فارس,1378,9.8925314
نرخ تملک خودرو,قزوین,1378,.32798854
نرخ تملک خودرو,قم,1378,.34483987
نرخ تملک خودرو,کردستان,1378,.3795884
نرخ تملک خودرو,کرمان,1378,16.425573
نرخ تملک خودرو,کرمانشاه,1378,1.5379528
نرخ تملک خودرو,کهگیلویه و بویراحمد,1378,3.0529542
نرخ تملک خودرو,لرستان,1378,4.2084002
نرخ تملک خودرو,مازندران,1378,3.3798337
نرخ تملک خودرو,مرکزی,1378,1.2917764
نرخ تملک خودرو,هرمزگان,1378,2.474427
نرخ تملک خودرو,همدان,1378,2.9591687
نرخ تملک خودرو,چهارمحال و بختیاری,1378,1.1246486
نرخ تملک خودرو,کل کشور,1378,4.2170095
نرخ تملک خودرو,گلستان,1378,5.9141493
نرخ تملک خودرو,گیلان,1378,2.4429972
نرخ تملک خودرو,یزد,1378,.53007883
نرخ تملک خودرو,آذربایجان شرقی,1379,.73345131
نرخ تملک خودرو,آذربایجان غربی,1379,6.0559397
نرخ تملک خودرو,اردبیل,1379,.69281477
نرخ تملک خودرو,اصفهان,1379,10.576631
نرخ تملک خودرو,ایلام,1379,2.2325788
نرخ تملک خودرو,بوشهر,1379,1.2881885
نرخ تملک خودرو,تهران,1379,11.678419
نرخ تملک خودرو,خراسان رضوی,1379,4.4792352
نرخ تملک خودرو,خوزستان,1379,7.9780235
نرخ تملک خودرو,زنجان,1379,3.75384
نرخ تملک خودرو,سمنان,1379,6.5418983
نرخ تملک خودرو,سیستان و بلوچستان,1379,4.8232241
نرخ تملک خودرو,فارس,1379,5.5842519
نرخ تملک خودرو,قزوین,1379,3.0789561
نرخ تملک خودرو,قم,1379,1.9490565
نرخ تملک خودرو,کردستان,1379,.17331448
نرخ تملک خودرو,کرمان,1379,5.022964
نرخ تملک خودرو,کرمانشاه,1379,3.7070148
نرخ تملک خودرو,کهگیلویه و بویراحمد,1379,2.4869015
نرخ تملک خودرو,لرستان,1379,.36025703
نرخ تملک خودرو,مازندران,1379,5.3273549
نرخ تملک خودرو,مرکزی,1379,2.6628437
نرخ تملک خودرو,هرمزگان,1379,1.5163277
نرخ تملک خودرو,همدان,1379,.15262559
نرخ تملک خودرو,چهارمحال و بختیاری,1379,.71030217
نرخ تملک خودرو,کل کشور,1379,10.86912
نرخ تملک خودرو,گلستان,1379,.062736258
نرخ تملک خودرو,گیلان,1379,3.9021542
